BuiltUpSize,City,Furnishing,NoOfBathroom,NoOfBedroom,NoOfParking,Postcode,PropertyName,RentalPerMth
650,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,2500
1300,Bangsar,Unfurnished,2,2,1,59100,Cascadium,4800
700,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,2500
1100,Bukit Jalil,Unfurnished,2,3,0,57000,Parkhill Residence,1500
710,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,2800
1100,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,1900
700,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,3000
1119,KL Eco City,Fully Furnished,2,2,1,59200,Vogue Suites One,3500
1485,Bangsar South,Fully Furnished,2,3,0,59100,Begonia @ The Park Residences,4000
1000,KL Eco City,Fully Furnished,2,2,1,59200,Vogue Suites One,3600
710,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,2500
989,KLCC,Fully Furnished,1,1,1,50450,The Troika,4000
969,KL Eco City,Fully Furnished,2,2,1,59200,Vogue Suites One,3800
710,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,3000
1019,Pantai Hillpark,Fully Furnished,2,3,2,59200,Saville @ The Park,2300
2020,Mont Kiara,Unfurnished,2,4,0,50480,Residensi 22,7500
538,Bukit Bintang,Fully Furnished,1,1,0,55100,The Robertson,3200
2411,Mont Kiara,Fully Furnished,4,4,0,50480,Seni Mont Kiara,8000
1973,Mont Kiara,Fully Furnished,3,3,1,50480,Mont Kiara Meridin,5000
1237,Sentul Selatan,Fully Furnished,3,3,1,51000,The Fennel,3200
1237,Sentul Selatan,Fully Furnished,3,3,1,51000,The Fennel,3000
1450,Bukit Jalil,Fully Furnished,2,4,1,57000,Vista Komanwel A,2200
1135,KL Sentral,Fully Furnished,2,2,1,50450,Suasana Sentral Loft,4000
1100,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,2100
1389,Desa ParkCity,Fully Furnished,2,3,0,52200,The Westside Two,4000
1300,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,2200
538,Bukit Bintang,Fully Furnished,1,1,0,55100,The Robertson,2600
1485,Bangsar South,Fully Furnished,2,3,0,59100,Begonia @ The Park Residences,4200
1100,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,2300
1237,Sentul Selatan,Fully Furnished,3,3,1,51000,The Fennel,3300
2513,Mont Kiara,Fully Furnished,5,4,0,50480,Mont Kiara Meridin,7000
1230,Setapak,Fully Furnished,2,3,1,53200,Heritage,1400
1200,Mont Kiara,Unfurnished,2,3,0,50480,Mont Kiara Astana,4800
2347,Mont Kiara,Unfurnished,4,3,3,50480,Seni Mont Kiara,8500
1224,Bukit Jalil,Fully Furnished,2,3,0,57000,Vista Komanwel A,1800
1346,Desa ParkCity,Fully Furnished,2,3,0,52200,The Breezeway,4200
538,Bukit Bintang,Unfurnished,1,1,1,55100,The Robertson,3200
908,Setapak,Fully Furnished,2,3,2,53200,Ascenda Residence @ Skyarena,1800
1049,Sentul,Fully Furnished,2,3,1,51000,Sang Suria,1500
1050,Jalan Kuching,Fully Furnished,2,3,0,51200,Sri Putramas,1700
1392,Happy Garden,Unfurnished,2,3,2,58200,Le Yuan Residence,2100
1377,Desa ParkCity,Fully Furnished,2,3,2,52200,One Central Park,5000
1389,Desa ParkCity,Fully Furnished,2,3,2,52200,The Westside Two,4500
1085,Wangsa Maju,Fully Furnished,2,3,2,53300,Infiniti 3 Residences,2300
1531,KL City Centre,Fully Furnished,3,3,3,50450,Mirage Residence,5000
1044,Taman Gembira,Fully Furnished,2,3,1,58200,Desa Cindaimas,1600
822,Brickfields,Fully Furnished,1,1,1,50470,633 Residency,2800
822,Brickfields,Fully Furnished,1,2,0,50470,633 Residency,2800
